year		DOY		Ta		Tmin		Tmax		precip		rSSD		SRad		ET0		snow		PAR
1		2000		1		-0.07		-1.99		1.72		0		0.41		53.7		0.31		3.5		2.18
2		2000		2		-0.68		-3.7		2.06		0		0.93		81.21		0.38		2.54		3.3
3		2000		3		-1.75		-5		1.94		0		0.95		82.17		0.39		2.54		3.34
4		2000		4		-0.84		-5.19		4.11		2.03		0.64		70.48		0.48		4.06		2.86
5		2000		5		2.54		-0.45		5.48		0.47		0.23		38.58		0.47		0.14		1.57
6		2000		6		-0.41		-2.12		2.53		0		0.36		51.2		0.35		0		2.08
7		2000		7		1.18		-2.04		5.57		0		0.92		83.78		0.5		0		3.4
8		2000		8		-0.73		-3.36		1.78		0		0.25		41.53		0.37		0		1.69
9		2000		9		1.63		-1.39		3.77		0.98		0		12.79		0.43		0.62		0.52
10		2000		10		0.71		0.22		1.96		0.08		0		12.9		0.24		0.07		0.52
11		2000		11		-0.48		-1.07		0.6		0		0.02		15.65		0.22		0		0.64
12		2000		12		-1.38		-3.33		1.28		0		0.72		79.68		0.35		0		3.24
13		2000		13		-2.48		-5.77		1.86		0		0.99		90.05		0.43		0		3.66
14		2000		14		-2.97		-6.56		1.55		0		0.99		90.96		0.43		0		3.69
15		2000		15		-5.09		-6.67		-2.35		0		0.37		56.51		0.27		0		2.29
16		2000		16		-5.32		-8.22		-3.16		0		0.03		17.83		0.29		0		0.72
17		2000		17		-3.13		-8.39		3.43		0		0.88		90.92		0.53		0		3.69
18		2000		18		-0.21		-2.9		3.55		0.05		0.03		18.23		0.47		0.05		0.74
19		2000		19		-1.31		-3.17		0.9		0		0.48		69.13		0.36		0.05		2.81
20		2000		20		-4.61		-8.39		-0.54		0		0.91		95.11		0.4		0.05		3.86
21		2000		21		-2.53		-6.14		0.11		0		0.01		15.97		0.42		0.05		0.65
22		2000		22		-2.1		-5.11		-0.59		5.01		0		14.68		0.37		5.06		0.6
23		2000		23		-1.38		-2.1		-0.79		6.61		0		14.86		0.21		11.65		0.6
24		2000		24		-5.82		-8.85		-3.37		0.16		0.37		62.78		0.32		11.81		2.55
25		2000		25		-10.1		-12.42		-7.77		0.02		0.36		62.52		0.19		11.83		2.54
26		2000		26		-9.92		-15.52		-4.29		0		0.97		104.3		0.31		11.83		4.24
27		2000		27		-6.88		-12.27		-1.38		0		0.94		104.83		0.43		11.83		4.26
28		2000		28		-3.68		-9.59		3.11		0		0.28		55.67		0.6		11.83		2.26
29		2000		29		3.2		-1.65		6.01		1.96		0		16.07		0.71		0.28		0.65
30		2000		30		5.43		3.65		6.55		4.95		0		16.29		0.49		0.03		0.66
31		2000		31		4.99		1.51		10.45		0		0.48		80.62		0.85		0		3.27
32		2000		32		5.2		0.04		10.77		0		0.75		103.39		0.96		0		4.2
33		2000		33		4.76		0.6		7.15		14.4		0		16.98		0.74		0.23		0.69
34		2000		34		1.63		-0.61		4.4		0		0.43		78.72		0.57		0		3.2
35		2000		35		0.11		-4.27		5.8		0		0.97		117.92		0.75		0		4.79
36		2000		36		3.27		-1.5		9.71		0		0.96		119.3		0.95		0		4.84
37		2000		37		5.29		0.47		12.26		0.02		0.57		96.71		1.08		0		3.93
38		2000		38		5.15		2.08		7.37		0.94		0		18.22		0.73		0.01		0.74
39		2000		39		6.74		3.95		9.26		14.8		0		18.48		0.79		0.01		0.75
40		2000		40		2.02		-0.13		3.86		1.12		0.09		35.29		0.56		0.55		1.43
41		2000		41		1.48		-3.51		7.41		7.11		0.93		127.06		0.92		4.88		5.16
42		2000		42		1.44		-0.26		4.01		2.87		0		19.29		0.58		2		0.78
43		2000		43		0.16		-0.77		2.18		2.36		0.04		27.42		0.46		2.22		1.11
44		2000		44		2.57		-0.12		3.8		6.64		0		19.86		0.61		1.98		0.81
45		2000		45		3.16		-0.14		7.54		5.09		0.83		129.63		0.89		0.76		5.26
46		2000		46		4.9		1.85		7.02		8.19		0.01		22.51		0.8		0.1		0.91
47		2000		47		1.59		-1.58		4.53		3.94		0.02		24.93		0.75		2.56		1.01
48		2000		48		-1.59		-2.99		0.23		4.53		0.01		23.17		0.46		7.09		0.94
49		2000		49		1.32		-4.1		5.48		20.06		0		21.34		0.96		14.87		0.87
50		2000		50		2.15		0.9		4		5.35		0.04		30.32		0.58		7.8		1.23
51		2000		51		-1.29		-2.87		0.33		4.38		0		21.95		0.49		12.16		0.89
52		2000		52		-3.18		-7.5		1.34		0		0.97		150.38		0.73		12.16		6.11
53		2000		53		-1.85		-5.66		3.14		0		0.9		149.4		0.81		12.16		6.07
54		2000		54		-2.62		-6.15		4.17		0		0.96		154.29		0.85		12.16		6.27
55		2000		55		0.31		-4.5		4.91		0		0		23.22		0.98		8.23		0.94
